Year of Survey [Core],Age [Demographic Core],Sex,Race,region,Highest Grade Completed [Demographic],Employment Status,
2010,31.0,1,3,3,16.0,7,
2010,23.0,0,5,3,16.0,7,
2010,71.0,0,3,3,8.0,3,
2010,82.0,0,3,3,10.0,3,
2010,78.0,0,2,3,0.0,3,
2010,40.0,1,2,3,6.0,6,
2010,46.0,0,2,3,16.0,7,
2010,80.0,0,2,3,15.0,3,
2010,31.0,0,2,3,14.0,7,
2010,47.0,0,3,3,14.0,7,
2010,21.0,1,1,3,13.0,4,
2010,58.0,1,2,3,12.0,7,
2010,36.0,0,3,3,13.0,1,
2010,57.0,0,5,3,10.0,1,
2010,28.0,0,3,3,10.0,1,
2010,80.0,0,5,3,14.0,3,
2010,51.0,1,3,3,12.0,6,
2010,35.0,1,5,3,16.0,7,
2010,49.0,1,5,3,12.0,7,
2010,56.0,1,5,3,13.0,8,
2010,88.0,0,2,3,10.0,3,
2010,23.0,0,2,3,10.0,1,
2010,35.0,0,5,3,17.0,8,
2010,26.0,0,3,3,16.0,7,
2010,21.0,0,1,3,15.0,2,
2010,21.0,0,1,3,14.0,8,
2010,33.0,0,5,3,16.0,7,
2010,53.0,0,5,3,16.0,8,
2010,63.0,0,5,3,20.0,8,
2010,34.0,1,5,3,18.0,6,
2010,75.0,1,5,3,15.0,3,
2010,78.0,0,5,3,16.0,3,
2010,57.0,1,3,3,15.0,7,
2010,43.0,1,5,3,18.0,7,
2010,53.0,1,5,3,16.0,7,
2010,83.0,0,5,3,13.0,1,
2010,69.0,1,5,3,18.0,3,
2010,24.0,1,5,3,17.0,7,
2010,33.0,1,4,3,18.0,7,
2010,23.0,0,5,3,13.0,8,
2010,25.0,1,3,3,17.0,7,
2010,66.0,0,5,3,19.0,7,
2010,20.0,1,3,3,13.0,6,
2010,37.0,0,3,3,13.0,7,
2010,64.0,1,2,3,12.0,3,
2010,45.0,1,5,5,12.0,7,
2010,40.0,0,3,5,12.0,7,
2010,80.0,1,2,5,16.0,7,
2010,60.0,1,5,5,15.0,3,
2010,49.0,1,5,5,16.0,7,
2010,22.0,0,5,5,15.0,6,
2010,63.0,0,5,5,20.0,3,
2010,72.0,1,5,3,16.0,3,
2010,42.0,0,2,3,14.0,7,
2010,54.0,0,4,3,16.0,7,
2010,26.0,0,5,3,16.0,7,
2010,31.0,1,5,3,16.0,7,
2010,41.0,0,3,3,14.0,8,
2010,84.0,0,5,3,6.0,3,
2010,19.0,1,3,3,12.0,4,
2010,34.0,1,5,3,16.0,7,
2010,44.0,0,5,3,16.0,7,
2010,45.0,1,5,3,12.0,2,
2010,28.0,1,5,3,9.0,6,
2010,46.0,1,5,3,12.0,6,
2010,50.0,0,5,3,13.0,1,
2010,40.0,1,5,3,13.0,7,
2010,42.0,0,5,3,20.0,7,
2010,19.0,0,1,3,11.0,4,
2010,53.0,1,5,3,14.0,7,
2010,39.0,0,5,3,14.0,8,
2010,40.0,0,5,3,16.0,7,
2010,44.0,0,5,3,12.0,2,
2010,58.0,1,5,3,12.0,7,
2010,46.0,1,5,3,14.0,7,
2010,66.0,0,5,3,12.0,6,
2010,48.0,0,5,3,18.0,7,
2010,88.0,1,5,3,12.0,7,
2010,45.0,0,5,3,14.0,8,
2010,38.0,1,5,3,12.0,5,
2010,22.0,0,2,3,14.0,4,
2010,23.0,1,5,3,16.0,7,
2010,41.0,0,5,3,16.0,7,
2010,23.0,0,3,3,12.0,7,
2010,60.0,1,5,3,12.0,7,
2010,80.0,0,5,3,6.0,3,
2010,56.0,0,3,3,8.0,8,
2010,43.0,0,2,3,16.0,7,
2010,31.0,0,4,3,16.0,7,
2010,24.0,0,3,3,8.0,7,
2010,39.0,0,2,3,16.0,7,
2010,20.0,1,3,3,12.0,4,
2010,55.0,1,1,3,16.0,7,
2010,45.0,0,5,3,14.0,7,
2010,50.0,1,5,3,12.0,7,
2010,69.0,0,5,3,16.0,8,
2010,50.0,0,1,3,16.0,1,
2010,31.0,1,3,3,11.0,8,
2010,59.0,0,5,3,12.0,7,
2010,51.0,1,5,3,16.0,7,
2010,61.0,1,5,3,20.0,8,
2010,50.0,0,5,3,16.0,8,
2010,51.0,0,5,3,16.0,7,
2010,43.0,0,5,3,18.0,7,
2010,19.0,1,2,3,11.0,4,
2010,35.0,0,5,3,16.0,1,
2010,64.0,1,5,3,16.0,7,
2010,44.0,0,5,3,13.0,8,
2010,40.0,1,5,3,19.0,7,
2010,59.0,1,5,3,16.0,6,
2010,36.0,1,3,3,16.0,7,
2010,65.0,0,5,3,13.0,8,
2010,46.0,0,1,3,20.0,7,
2010,21.0,0,3,6,9.0,1,
2010,24.0,0,5,6,13.0,7,
2010,36.0,1,3,6,11.0,8,
2010,27.0,0,3,6,15.0,4,
2010,32.0,0,5,6,12.0,7,
2010,68.0,1,5,6,14.0,8,
2010,63.0,1,5,6,13.0,7,
2010,80.0,0,5,6,18.0,3,
2010,72.0,1,5,6,18.0,7,
2010,24.0,1,3,6,10.0,8,
2010,45.0,1,3,6,8.0,7,
2010,52.0,1,6,6,8.0,7,
2010,49.0,1,5,6,16.0,7,
2010,42.0,1,3,6,3.0,7,
2010,42.0,1,5,6,11.0,7,
2010,37.0,0,5,6,12.0,7,
2010,35.0,0,5,6,12.0,8,
2010,51.0,1,3,6,14.0,7,
2010,66.0,1,1,6,16.0,8,
2010,28.0,1,5,6,15.0,7,
