Age [Demographic Core],Sex,Race,region,Highest Grade Completed [Demographic],Employment Status
63,0,5,3,20,8
63,0,5,5,20,3
42,0,5,3,20,7
61,1,5,3,20,8
46,0,1,3,20,7
49,0,1,6,20,7
68,1,1,6,20,8
56,0,5,6,20,7
33,1,5,6,20,7
30,0,5,6,20,8
80,1,5,6,20,3
42,0,2,1,20,5
35,1,1,1,20,7
55,1,5,1,20,7
43,0,5,1,20,7
60,0,5,6,20,3
67,1,5,6,20,8
48,1,5,6,20,7
65,1,5,6,20,3
63,1,5,6,20,3
48,1,5,3,20,7
67,0,5,3,20,8
35,0,3,3,20,7
62,1,1,9,20,7
63,0,5,9,20,1
47,0,5,5,20,7
34,1,5,7,20,7
77,1,5,8,20,3
29,0,1,7,20,7
29,1,5,7,20,5
56,1,2,6,20,3
50,1,5,6,20,7
43,1,5,6,20,7
54,1,5,6,20,7
73,0,5,5,20,8
30,1,1,3,20,4
41,0,5,3,20,7
67,0,4,3,20,8
47,1,5,3,20,7
62,1,5,1,20,7
40,0,5,1,20,1
34,0,5,1,20,7
45,1,5,1,20,7
69,0,5,1,20,7
64,0,4,2,20,7
63,1,5,8,20,2
41,0,2,7,20,7
39,0,5,7,20,7
44,0,5,7,20,7
42,1,5,2,20,2
60,1,5,7,20,7
33,0,5,7,20,7
68,1,5,6,20,8
70,0,5,4,20,8
76,1,5,6,20,8
49,0,5,6,20,7
59,0,4,3,20,7
57,0,5,8,20,7
38,0,3,4,20,1
76,1,5,8,20,7
46,1,5,1,20,7
33,1,5,7,20,7
39,0,5,7,20,7
30,0,2,9,20,7
34,1,3,4,20,4
31,0,1,4,20,4
56,0,5,4,20,7
66,0,5,3,19,7
40,1,5,3,19,7
40,0,5,6,19,8
28,0,5,6,19,7
34,0,1,6,19,7
59,1,5,1,19,6
27,1,5,6,19,4
65,1,5,1,19,3
27,0,5,7,19,7
54,1,2,7,19,7
45,0,5,6,19,7
48,0,5,6,19,7
50,1,1,6,19,8
49,1,5,1,19,7
76,1,5,3,19,8
33,1,5,1,19,7
52,0,5,1,19,7
29,0,5,1,19,5
63,0,5,1,19,7
30,0,5,1,19,7
63,1,5,1,19,3
57,1,5,1,19,7
44,0,5,8,19,7
59,1,5,8,19,3
26,0,5,9,19,4
42,1,5,7,19,7
39,1,2,7,19,7
66,1,5,3,19,3
28,0,5,8,19,7
26,1,5,8,19,7
29,0,1,4,19,4
63,1,5,4,19,3
34,1,5,3,18,6
43,1,5,3,18,7
69,1,5,3,18,3
33,1,4,3,18,7
48,0,5,3,18,7
43,0,5,3,18,7
80,0,5,6,18,3
72,1,5,6,18,7
64,0,3,6,18,3
63,0,2,1,18,7
51,1,4,6,18,7
60,1,5,6,18,7
62,0,5,3,18,1
28,0,2,3,18,7
27,0,2,3,18,7
60,0,5,7,18,7
44,0,5,7,18,1
61,0,5,7,18,7
47,0,5,9,18,7
50,1,5,5,18,7
44,1,5,5,18,7
51,0,5,7,18,7
65,1,5,7,18,3
41,0,4,7,18,8
48,1,5,7,18,7
54,1,5,7,18,7
59,0,5,7,18,5
38,1,5,1,18,2
43,1,5,7,18,7
34,0,5,7,18,7
61,1,5,6,18,6
58,1,5,6,18,6
60,0,5,3,18,7
62,0,5,1,18,3
55,0,5,5,18,7
59,1,5,5,18,3
50,1,5,5,18,7
59,0,5,3,18,3
56,1,5,3,18,3
25,0,1,3,18,4
60,1,5,3,18,3
67,1,5,3,18,3
49,0,5,3,18,7
64,1,5,1,18,7
61,1,5,1,18,8
57,0,5,1,18,7
65,1,5,1,18,8
32,0,5,1,18,7
63,0,5,1,18,7
59,1,2,1,18,6
64,0,5,1,18,3
75,0,5,1,18,3
30,0,5,1,18,7
49,1,5,1,18,7
38,1,5,1,18,7
63,0,5,1,18,5
41,0,2,1,18,7
58,1,5,1,18,8
34,0,5,2,18,8
53,1,5,8,18,7
25,0,2,8,18,4
36,1,5,7,18,7
58,0,5,7,18,7
58,0,5,7,18,7
27,0,5,7,18,4
70,0,5,7,18,1
34,0,2,9,18,7
71,0,5,7,18,3
62,1,5,7,18,7
31,0,2,7,18,7
44,0,4,7,18,7
72,1,5,7,18,8
51,1,5,2,18,7
36,1,5,2,18,4
64,1,5,2,18,7
34,0,5,2,18,7
33,0,5,2,18,7
30,0,5,6,18,7
43,1,5,6,18,7
49,1,5,4,18,7
40,0,5,4,18,5
63,0,5,4,18,8
67,0,5,6,18,3
59,0,1,6,18,7
54,1,5,3,18,7
31,1,5,3,18,7
60,0,5,5,18,8
56,1,2,8,18,7
40,0,5,4,18,4
57,1,5,1,18,7
58,0,2,7,18,7
53,0,4,7,18,7
50,0,4,4,18,7
35,0,5,3,17,8
24,1,5,3,17,7
25,1,3,3,17,7
47,1,5,6,17,7
24,1,5,6,17,1
23,0,5,6,17,8
34,1,5,6,17,7
89,0,2,1,17,3
38,1,5,1,17,7
41,0,5,1,17,8
24,0,2,1,17,8
60,1,5,1,17,3
58,1,5,1,17,5
29,0,3,1,17,7
57,0,5,6,17,7
24,1,6,6,17,8
64,0,5,6,17,3
72,1,5,3,17,3
41,0,3,7,17,7
67,1,5,1,17,7
46,1,5,7,17,7
31,1,1,9,17,7
62,0,5,9,17,8
70,1,5,5,17,7
41,0,5,5,17,1
30,0,5,8,17,7
40,1,2,7,17,7
37,0,5,6,17,7
70,0,5,4,17,1
42,0,5,5,17,7
24,0,5,5,17,4
41,1,5,3,17,7
59,0,5,1,17,7
72,1,5,1,17,3
35,1,5,1,17,7
61,0,6,1,17,7
27,0,5,1,17,7
50,1,5,1,17,7
41,1,5,1,17,7
62,1,5,8,17,8
31,1,4,1,17,7
26,1,5,7,17,7
45,1,5,7,17,1
50,1,5,7,17,7
40,0,5,7,17,7
43,1,5,2,17,7
31,0,5,2,17,1
34,0,4,4,17,7
37,1,5,6,17,6
67,0,5,4,17,8
54,1,1,6,17,7
23,1,4,6,17,8
71,1,1,6,17,3
58,1,5,4,17,7
62,0,5,1,17,7
41,0,5,1,17,7
56,0,4,9,17,8
47,1,5,9,17,7
53,0,5,2,17,7
83,1,5,9,17,3
31,1,3,3,16,7
23,0,5,3,16,7
46,0,2,3,16,7
35,1,5,3,16,7
26,0,3,3,16,7
33,0,5,3,16,7
53,0,5,3,16,8
78,0,5,3,16,3
53,1,5,3,16,7
80,1,2,5,16,7
49,1,5,5,16,7
72,1,5,3,16,3
54,0,4,3,16,7
26,0,5,3,16,7
31,1,5,3,16,7
34,1,5,3,16,7
44,0,5,3,16,7
40,0,5,3,16,7
23,1,5,3,16,7
41,0,5,3,16,7
43,0,2,3,16,7
31,0,4,3,16,7
39,0,2,3,16,7
55,1,1,3,16,7
69,0,5,3,16,8
50,0,1,3,16,1
51,1,5,3,16,7
50,0,5,3,16,8
51,0,5,3,16,7
35,0,5,3,16,1
64,1,5,3,16,7
59,1,5,3,16,6
36,1,3,3,16,7
49,1,5,6,16,7
66,1,1,6,16,8
48,1,5,6,16,7
34,1,1,6,16,7
29,1,2,6,16,7
71,1,5,6,16,7
52,1,5,6,16,7
29,0,3,6,16,1
24,1,5,6,16,7
30,1,5,6,16,7
25,1,5,6,16,7
41,0,5,6,16,7
67,1,1,6,16,7
29,0,3,1,16,7
27,1,5,1,16,8
34,0,5,1,16,1
52,1,6,1,16,6
25,0,5,1,16,7
68,0,5,1,16,1
22,0,5,1,16,6
75,1,1,1,16,8
60,0,5,1,16,1
58,0,5,1,16,7
46,0,3,1,16,1
40,0,5,1,16,7
73,1,5,6,16,3
76,1,5,6,16,8
70,0,5,6,16,6
47,1,4,6,16,7
43,1,5,6,16,7
45,0,5,6,16,7
62,1,2,6,16,6
61,1,2,6,16,8
47,1,2,6,16,7
24,1,5,6,16,8
26,0,5,6,16,6
54,0,5,6,16,7
62,1,5,6,16,7
45,1,5,6,16,6
82,1,2,3,16,3
38,0,2,3,16,7
55,1,5,3,16,7
81,1,5,3,16,3
25,0,5,3,16,4
27,1,5,3,16,7
53,0,5,7,16,7
59,1,5,7,16,1
62,1,4,1,16,3
28,1,5,9,16,7
44,0,3,9,16,7
86,1,4,9,16,3
69,0,5,9,16,3
74,0,5,7,16,3
33,1,5,7,16,6
41,1,2,7,16,7
57,1,2,7,16,8
43,0,1,7,16,7
33,1,4,7,16,7
27,0,1,7,16,7
46,0,5,7,16,8
66,0,5,9,16,3
39,1,5,9,16,7
61,1,5,9,16,7
39,1,5,5,16,7
37,0,5,5,16,1
68,1,5,5,16,3
53,0,5,5,16,7
84,1,5,5,16,3
62,0,5,5,16,7
39,1,5,5,16,7
55,0,2,7,16,6
44,1,5,7,16,7
32,0,5,7,16,8
47,1,5,7,16,8
37,0,5,7,16,7
88,1,5,4,16,3
25,0,3,8,16,7
25,0,5,8,16,1
52,1,5,8,16,7
58,0,5,8,16,2
32,0,5,8,16,7
58,0,5,8,16,6
43,1,5,8,16,7
49,1,5,8,16,7
56,1,2,7,16,7
34,1,5,7,16,7
30,0,2,7,16,7
54,0,5,7,16,1
43,0,5,1,16,6
40,1,5,1,16,7
51,0,5,8,16,7
76,1,5,9,16,3
76,1,5,7,16,3
49,0,5,7,16,7
32,1,5,7,16,7
27,0,3,7,16,7
35,1,4,7,16,7
29,0,5,6,16,7
33,1,5,6,16,7
83,1,5,6,16,3
77,0,5,6,16,5
25,0,5,6,16,7
36,1,1,3,16,7
45,1,5,3,16,7
38,1,3,4,16,7
27,1,5,4,16,7
28,1,5,4,16,7
74,0,5,4,16,3
55,0,5,4,16,7
49,0,2,4,16,6
32,1,5,1,16,7
56,1,5,1,16,7
61,1,5,5,16,8
49,0,5,5,16,7
40,1,5,5,16,7
22,0,5,5,16,7
60,1,6,5,16,7
30,1,5,3,16,7
60,1,5,3,16,7
35,1,5,3,16,7
67,0,5,3,16,1
56,0,5,3,16,7
55,0,5,3,16,7
81,0,5,3,16,3
61,1,5,3,16,6
69,1,5,1,16,3
28,0,5,1,16,7
59,0,5,1,16,8
44,0,5,1,16,2
26,1,1,1,16,4
56,0,5,1,16,7
23,1,5,1,16,7
53,0,5,1,16,7
72,1,5,1,16,3
58,0,5,1,16,7
39,1,5,1,16,7
77,0,5,1,16,1
83,0,5,1,16,1
52,1,5,1,16,7
23,0,5,2,16,8
43,1,4,2,16,7
30,0,5,1,16,8
74,0,5,8,16,3
29,0,5,8,16,7
31,1,5,8,16,7
26,0,5,8,16,7
35,0,5,8,16,7
53,1,5,8,16,7
74,1,5,1,16,3
24,1,5,1,16,4
27,1,5,2,16,7
26,1,5,2,16,7
62,0,4,2,16,8
35,1,5,2,16,7
50,1,5,7,16,7
45,0,3,7,16,7
40,1,5,7,16,7
57,1,5,7,16,7
49,0,5,7,16,7
73,0,5,7,16,3
40,0,2,7,16,1
44,0,5,7,16,7
48,1,5,7,16,7
39,1,5,7,16,5
36,1,5,7,16,7
80,0,5,7,16,1
72,0,5,7,16,8
79,0,5,7,16,3
47,0,5,7,16,7
35,1,5,7,16,7
44,0,5,7,16,7
30,1,5,7,16,7
47,0,5,7,16,7
25,0,4,7,16,7
70,1,2,7,16,3
27,1,5,7,16,7
25,1,5,7,16,8
86,0,5,7,16,3
40,1,1,7,16,7
89,0,2,7,16,3
58,1,5,7,16,7
52,1,5,7,16,7
68,1,5,2,16,3
37,0,5,2,16,7
35,1,5,2,16,6
31,1,5,2,16,7
28,1,5,2,16,7
53,1,5,2,16,7
37,0,5,2,16,7
39,0,3,9,16,7
47,0,3,9,16,2
38,0,3,9,16,7
38,1,3,9,16,7
44,1,4,7,16,6
51,1,5,7,16,5
61,0,5,7,16,7
62,0,5,7,16,1
45,0,5,4,16,7
42,0,5,4,16,8
35,1,3,6,16,2
28,1,5,6,16,7
31,1,5,6,16,7
51,1,5,6,16,7
31,0,5,6,16,7
26,0,5,6,16,7
89,1,5,6,16,3
39,0,3,4,16,7
60,1,5,4,16,3
23,0,3,4,16,7
