Age [Demographic Core],Sex,Highest Grade Completed [Demographic],Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Employment Status
22.0,1,16.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8
21.0,1,12.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8
42.0,1,12.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7
49.0,0,13.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
70.0,0,16.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3
50.0,0,19.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2
35.0,0,15.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
24.0,0,11.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
28.0,0,9.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
28.0,0,17.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
55.0,1,10.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2
28.0,0,12.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
59.0,0,12.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2
52.0,1,4.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,8
35.0,0,13.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7
36.0,1,12.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,7
47.0,0,13.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
55.0,1,12.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7
18.0,0,12.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4
76.0,0,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6
39.0,1,10.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7
54.0,1,14.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
45.0,0,16.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
71.0,1,12.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
42.0,0,17.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
22.0,1,15.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
50.0,1,10.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
44.0,0,13.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8
78.0,1,16.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
63.0,0,14.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
73.0,1,19.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
