answer,religious,spiritual,party,death_penalty,court_harsh,bar,relatives,income_distribution,tv,spanking,standard_of_living,immigration,gun,tax_approp,affirmative_action,divorce_ease,numb_children,birth_control
0,0.182942588,0.108077994,0.096190117,0.334115806,0.660071942,0.476918875,0.047293603,0,0.068546158,0.066150014,0.052164262,0.265826331,0.65805169,0.019495413,0.52672638,0.320661637,0.00919759,0.186046512
1,0.229093594,0.219870009,0.142964919,0.665884194,0.200039968,0.123736684,0.067523237,0.221731936,0.204532891,0.21505674,0.12236404,0.235294118,0.34194831,0.457568807,0.283733025,0.235925711,0.030130035,0.236602629
2,0.413882223,0.390157846,0.088457186,0,0.13988809,0.128653373,0.168671405,0.088251517,0.258706468,0.469139219,0.235016648,0.365266106,0,0.52293578,0.078590003,0.443412652,0.545195052,0.328951803
3,0.174081595,0.28189415,0.182195398,0,0,0.113903305,0.151175506,0.158301158,0.17827529,0.249654027,0.287735849,0.090196078,0,0,0.110950592,0,0.293371392,0.248399056
4,0,0,0.132025651,0,0,0.081944824,0.192454893,0.179812466,0.127142067,0,0.302719201,0.043417367,0,0,0,0,0.095147479,0
5,0,0,0.172010562,0,0,0.064736411,0.248496446,0.134031991,0.058043118,0,0,0,0,0,0,0,0.016175071,0
6,0,0,0.186156167,0,0,0.010106528,0.12438491,0.069498069,0.043946932,0,0,0,0,0,0,0,0.006026007,0
7,0,0,0,0,0,0,0,0.148372863,0.012161415,0,0,0,0,0,0,0,0.004757374,0
8,0,0,0,0,0,0,0,0,0.024046434,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0.014372582,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0.010226645,0,0,0,0,0,0,0,0,0
N,5417,5385,5302,5112,5004,3661,3658,3626,3618,3613,3604,3570,3521,3488,3461,3446,3153,2967
