,age,sex,race,region,highest_grade,employment_status,marital_status,religious,spiritual,party,lib_cons,death_penalty,court_harsh,income,sex_partners,sex_freq,bar,tv,relatives,spanking,income_distribution,standard_living,birth_control,immigration,govt_help_poor,govt_help_sick,govt_more_less,govt_help_blacks,affirmative_action,gun,tax_approp,divorce_ease,numb_children,income_bucket
0,22.0,1.0,15.0,4.0,16.0,7.0,2.0,1.0,3.0,4.0,3.0,1.0,0.0,241797.0,5.0,4.0,5.0,1.0,4.0,2.0,3.0,4.0,2.0,1.0,3.0,2.0,3.0,5.0,0.0,0.0,1.0,2.0,2.0,8
1,21.0,1.0,15.0,4.0,12.0,7.0,2.0,1.0,3.0,2.0,2.0,1.0,0.0,241797.0,6.0,5.0,0.0,1.0,4.0,2.0,3.0,4.0,2.0,2.0,3.0,4.0,2.0,5.0,0.0,0.0,1.0,0.0,2.0,8
2,42.0,1.0,6.0,4.0,12.0,6.0,1.0,1.0,3.0,4.0,2.0,1.0,0.0,124368.0,1.0,3.0,0.0,2.0,4.0,2.0,5.0,4.0,1.0,2.0,3.0,4.0,3.0,4.0,0.0,0.0,1.0,2.0,2.0,7
3,49.0,0.0,15.0,4.0,13.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,0.0,145096.0,1.0,2.0,0.0,4.0,2.0,2.0,7.0,1.0,2.0,1.0,5.0,5.0,5.0,5.0,1.0,1.0,2.0,1.0,2.0,7
4,70.0,0.0,3.0,2.0,16.0,2.0,3.0,2.0,3.0,6.0,5.0,0.0,0.0,57002.0,1.0,2.0,0.0,3.0,5.0,3.0,7.0,4.0,2.0,3.0,1.0,2.0,3.0,4.0,1.0,0.0,2.0,0.0,2.0,5
5,50.0,0.0,15.0,2.0,19.0,1.0,4.0,3.0,3.0,6.0,3.0,0.0,0.0,28501.0,0.0,0.0,0.0,4.0,6.0,1.0,1.0,3.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,2.0,2
6,35.0,0.0,15.0,2.0,15.0,0.0,1.0,2.0,3.0,3.0,3.0,1.0,0.0,33683.0,1.0,5.0,0.0,3.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,1.0,3.0,5.0,1.0,0.0,1.0,2.0,2.0,3
7,24.0,0.0,6.0,2.0,11.0,0.0,3.0,2.0,3.0,3.0,3.0,0.0,2.0,5700.0,4.0,4.0,3.0,0.0,6.0,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,0.0,2.0,0.0,3.0,0
8,28.0,0.0,0.0,2.0,9.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,518.0,3.0,2.0,0.0,2.0,2.0,3.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0
9,28.0,0.0,15.0,2.0,17.0,6.0,2.0,1.0,3.0,6.0,5.0,0.0,1.0,33683.0,5.0,3.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,3
10,55.0,1.0,15.0,4.0,10.0,1.0,0.0,2.0,3.0,6.0,6.0,1.0,0.0,518.0,3.0,2.0,0.0,6.0,5.0,2.0,1.0,0.0,2.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,0
11,28.0,0.0,15.0,4.0,12.0,0.0,2.0,2.0,3.0,3.0,3.0,0.0,0.0,9328.0,2.0,2.0,0.0,1.0,5.0,2.0,4.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,0.0,1.0,0.0,3.0,0
12,59.0,0.0,0.0,4.0,12.0,1.0,0.0,2.0,3.0,3.0,3.0,1.0,0.0,24615.0,2.0,2.0,2.0,2.0,5.0,3.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,2.0,2.0,2.0,2
13,52.0,1.0,15.0,4.0,4.0,7.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,9778.0,2.0,3.0,2.0,2.0,1.0,1.0,7.0,4.0,2.0,3.0,5.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,4.0,0
14,35.0,0.0,3.0,4.0,13.0,6.0,2.0,1.0,3.0,1.0,4.0,0.0,0.0,57002.0,1.0,4.0,0.0,4.0,4.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,5
15,36.0,1.0,6.0,4.0,12.0,6.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0,57002.0,1.0,4.0,0.0,2.0,5.0,2.0,4.0,4.0,2.0,2.0,3.0,3.0,3.0,5.0,1.0,0.0,1.0,2.0,2.0,5
16,47.0,0.0,3.0,2.0,13.0,6.0,0.0,3.0,3.0,4.0,1.0,0.0,0.0,46638.0,1.0,1.0,0.0,3.0,6.0,1.0,1.0,3.0,1.0,0.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,2.0,4
