,age,highest_grade,religious,spiritual,party,death_penalty,court_harsh,bar,relatives,income_distribution,tv,spanking,standard_of_living,immigration,gun,tax_approp,affirmative_action,divorce_ease,numb_children,birth_control
0,22.0,16.0,1.0,2.0,4.0,,,5.0,4.0,,1.0,2.0,,1.0,0.0,1.0,,2.0,2.0,2.0
1,21.0,12.0,1.0,1.0,2.0,1.0,0.0,,,3.0,,,4.0,,0.0,1.0,,,,
2,42.0,12.0,1.0,1.0,4.0,,,,,5.0,,,4.0,,0.0,1.0,,,,
3,49.0,13.0,0.0,1.0,1.0,1.0,,0.0,2.0,7.0,4.0,2.0,1.0,1.0,,,1.0,1.0,,2.0
4,70.0,16.0,2.0,2.0,6.0,0.0,0.0,0.0,5.0,7.0,3.0,3.0,4.0,3.0,,,1.0,0.0,2.0,2.0
5,50.0,19.0,3.0,3.0,6.0,0.0,0.0,0.0,6.0,,4.0,,,0.0,0.0,1.0,1.0,0.0,2.0,3.0
6,35.0,15.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,2.0,3.0,2.0,1.0,0.0,,,1.0,2.0,,2.0
7,24.0,11.0,2.0,2.0,3.0,0.0,2.0,,,1.0,,,3.0,,0.0,2.0,,,,
8,28.0,9.0,1.0,1.0,3.0,,2.0,0.0,2.0,,,3.0,,,0.0,0.0,3.0,0.0,3.0,2.0
9,28.0,17.0,1.0,3.0,6.0,0.0,1.0,,,1.0,,,3.0,,0.0,1.0,,,,
10,55.0,10.0,2.0,2.0,6.0,1.0,,0.0,5.0,,6.0,2.0,,0.0,0.0,2.0,,,1.0,2.0
11,28.0,12.0,0.0,0.0,3.0,0.0,0.0,,,4.0,,,,,0.0,1.0,,,,
12,59.0,12.0,2.0,3.0,3.0,,0.0,2.0,5.0,,2.0,3.0,,1.0,0.0,2.0,3.0,2.0,,
13,52.0,4.0,3.0,3.0,3.0,0.0,0.0,2.0,1.0,7.0,2.0,1.0,4.0,3.0,,,3.0,0.0,4.0,2.0
14,35.0,13.0,1.0,1.0,1.0,0.0,0.0,,,1.0,,,4.0,,0.0,2.0,,,,
15,36.0,12.0,2.0,2.0,1.0,1.0,,0.0,5.0,4.0,2.0,2.0,4.0,2.0,,,1.0,2.0,2.0,
16,47.0,13.0,3.0,0.0,4.0,0.0,0.0,0.0,6.0,1.0,3.0,1.0,3.0,0.0,,,0.0,0.0,2.0,1.0
17,55.0,12.0,2.0,2.0,,0.0,0.0,,,7.0,,,3.0,,0.0,2.0,,,,
18,18.0,12.0,0.0,1.0,3.0,1.0,0.0,0.0,6.0,,5.0,1.0,,2.0,0.0,,2.0,0.0,3.0,1.0
19,76.0,0.0,1.0,3.0,5.0,0.0,1.0,,,1.0,,,1.0,,0.0,2.0,,,,
20,39.0,10.0,3.0,3.0,5.0,,2.0,,,3.0,,,4.0,,0.0,1.0,,,,
21,54.0,14.0,2.0,3.0,3.0,1.0,0.0,4.0,4.0,6.0,3.0,2.0,1.0,0.0,,,0.0,1.0,2.0,0.0
22,45.0,16.0,1.0,1.0,3.0,1.0,0.0,5.0,6.0,4.0,0.0,0.0,4.0,4.0,,,3.0,0.0,2.0,3.0
23,71.0,12.0,3.0,3.0,1.0,1.0,0.0,0.0,4.0,7.0,2.0,2.0,4.0,1.0,,,0.0,2.0,2.0,0.0
24,42.0,17.0,2.0,2.0,5.0,1.0,1.0,,,7.0,,,3.0,,0.0,1.0,,,,
25,22.0,15.0,2.0,1.0,1.0,1.0,0.0,5.0,3.0,,2.0,2.0,,0.0,0.0,2.0,0.0,1.0,3.0,2.0
26,50.0,10.0,3.0,3.0,3.0,1.0,2.0,0.0,4.0,,8.0,1.0,,4.0,0.0,2.0,3.0,0.0,4.0,3.0
27,44.0,13.0,2.0,3.0,1.0,,0.0,2.0,1.0,,2.0,3.0,,2.0,0.0,1.0,,2.0,,1.0
28,78.0,16.0,,2.0,3.0,1.0,0.0,,,7.0,,,2.0,,0.0,2.0,,,,
29,63.0,14.0,2.0,3.0,6.0,0.0,,2.0,4.0,3.0,4.0,2.0,1.0,2.0,,,0.0,0.0,,0.0
30,73.0,19.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,4.0,3.0,,,3.0,1.0,1.0,3.0
31,40.0,16.0,1.0,1.0,3.0,0.0,,,,5.0,,,4.0,,0.0,2.0,,,,
32,42.0,14.0,2.0,3.0,4.0,1.0,1.0,2.0,2.0,3.0,3.0,1.0,3.0,2.0,,,0.0,,2.0,1.0
33,62.0,18.0,3.0,3.0,4.0,1.0,1.0,,,1.0,,,2.0,,1.0,2.0,,,,
34,52.0,11.0,0.0,0.0,,1.0,1.0,5.0,2.0,,5.0,,,2.0,0.0,2.0,,,,
35,49.0,12.0,2.0,2.0,6.0,1.0,1.0,4.0,3.0,1.0,10.0,2.0,3.0,2.0,,,3.0,1.0,3.0,3.0
36,27.0,17.0,0.0,2.0,5.0,0.0,2.0,5.0,4.0,,1.0,1.0,,3.0,0.0,2.0,0.0,0.0,3.0,3.0
37,30.0,14.0,2.0,3.0,5.0,,,2.0,6.0,1.0,2.0,1.0,3.0,0.0,,,1.0,2.0,2.0,2.0
38,29.0,18.0,2.0,2.0,5.0,0.0,1.0,,,5.0,,,2.0,,0.0,2.0,,,,
39,69.0,14.0,0.0,0.0,5.0,0.0,0.0,2.0,4.0,3.0,2.0,1.0,4.0,1.0,,,0.0,1.0,2.0,1.0
40,51.0,18.0,0.0,0.0,4.0,1.0,0.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,2.0
41,57.0,16.0,3.0,3.0,4.0,0.0,,,,5.0,,,4.0,,0.0,1.0,,,,
42,44.0,16.0,0.0,0.0,1.0,1.0,0.0,,,6.0,,,2.0,,0.0,2.0,,,,
43,73.0,16.0,2.0,3.0,5.0,1.0,0.0,0.0,3.0,4.0,2.0,0.0,4.0,2.0,,,0.0,2.0,3.0,3.0
44,73.0,16.0,1.0,1.0,1.0,1.0,0.0,,,5.0,,,4.0,,0.0,1.0,,,,
45,68.0,16.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,6.0,4.0,2.0,2.0,2.0,,,0.0,1.0,2.0,1.0
46,84.0,16.0,2.0,2.0,4.0,,1.0,1.0,3.0,3.0,2.0,1.0,2.0,2.0,,,1.0,,3.0,2.0
47,63.0,19.0,0.0,0.0,2.0,1.0,0.0,,,6.0,,,4.0,,0.0,1.0,,,,
48,57.0,16.0,2.0,3.0,3.0,0.0,0.0,,,3.0,,,4.0,,0.0,2.0,,,,
49,45.0,20.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,,1.0,1.0,,1.0,0.0,2.0,2.0,1.0,0.0,2.0
50,38.0,14.0,0.0,3.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,,,0.0,2.0,,1.0
51,46.0,20.0,1.0,2.0,4.0,1.0,1.0,,,3.0,,,1.0,,0.0,2.0,,,,
52,51.0,20.0,2.0,1.0,3.0,0.0,2.0,2.0,5.0,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,3.0,3.0
53,41.0,14.0,2.0,2.0,6.0,1.0,0.0,,,1.0,,,4.0,,0.0,1.0,,,,
