Age [Demographic Core],Sex,Race,region,Highest Grade Completed [Demographic],Employment Status
22,1,5,5,16,8
21,1,5,5,12,8
42,1,3,5,12,7
49,0,5,5,13,2
70,0,2,3,16,3
50,0,5,3,19,2
35,0,5,3,15,1
24,0,3,3,11,1
28,0,4,3,9,1
28,0,5,3,17,7
55,1,5,5,10,2
28,0,5,5,12,1
59,0,4,5,12,2
52,1,6,5,4,8
35,0,2,5,13,7
36,1,3,5,12,7
47,0,2,3,13,7
55,1,6,3,12,7
18,0,3,3,12,4
76,0,3,3,0,6
39,1,3,3,10,7
54,1,5,3,14,7
45,0,1,3,16,7
71,1,5,3,12,3
42,0,5,3,17,7
22,1,5,3,15,7
50,1,3,3,10,1
44,0,5,3,13,8
78,1,5,3,16,3
63,0,5,3,14,7
73,1,5,3,19,3
40,1,4,3,16,7
42,0,5,3,14,7
62,1,5,3,18,7
52,1,5,3,11,7
49,0,2,3,12,7
27,0,4,3,17,8
30,0,2,3,14,7
29,0,1,3,18,7
69,0,5,3,14,3
51,0,5,3,18,7
57,0,5,3,16,7
44,1,5,3,16,7
73,0,5,3,16,1
73,0,5,3,16,1
68,1,5,3,16,7
84,0,5,3,16,3
63,1,5,3,19,3
57,1,5,3,16,7
45,0,5,3,20,1
38,1,3,3,14,7
46,1,5,3,20,7
51,0,1,3,20,4
41,0,3,3,14,7
75,0,2,3,12,3
81,0,3,3,8,3
67,0,4,3,19,3
71,1,2,3,19,3
35,1,4,3,6,7
45,0,2,3,17,7
35,1,2,3,16,1
21,0,2,3,14,4
52,0,2,3,11,7
49,0,2,3,16,7
46,1,5,3,16,7
51,0,5,3,14,7
28,1,4,3,16,7
81,0,5,3,16,3
47,1,5,3,17,7
48,1,5,3,14,7
46,1,3,3,16,7
68,1,5,3,12,3
56,0,5,3,16,7
32,0,3,3,13,7
23,0,3,3,12,8
59,1,5,3,12,3
32,0,4,3,18,7
44,1,5,3,16,7
49,0,1,3,20,7
64,0,5,3,12,7
30,0,5,3,19,7
51,0,3,3,12,1
28,0,2,3,17,7
84,1,5,3,13,3
32,1,3,3,14,7
54,0,3,3,18,2
34,0,2,3,20,7
33,0,1,3,16,8
48,0,5,3,12,6
52,0,3,3,10,1
47,0,3,3,14,8
54,1,5,3,16,7
41,1,1,3,16,7
23,0,5,3,17,8
51,1,5,3,12,3
75,0,5,3,16,3
47,0,5,3,20,1
27,1,3,3,12,7
24,1,3,3,14,6
26,1,3,3,20,7
47,0,5,3,19,8
55,0,5,3,13,6
55,0,2,3,18,6
43,1,5,3,17,7
46,0,4,3,14,7
71,1,2,3,16,7
32,0,1,3,16,7
63,1,5,5,17,8
50,0,5,5,12,7
60,1,5,5,12,7
33,0,5,5,14,1
40,0,5,5,18,7
68,1,5,5,12,3
71,1,5,6,18,3
23,1,3,6,15,7
28,1,5,6,16,7
49,1,4,6,12,7
66,0,5,6,16,6
36,0,3,6,20,7
53,1,5,6,19,7
34,0,3,6,12,7
58,1,3,6,6,8
62,1,5,6,12,6
24,0,3,6,12,7
32,0,3,6,12,7
29,1,4,6,16,7
34,1,2,6,12,7
36,0,2,6,13,6
74,1,3,6,8,3
60,1,1,6,16,7
78,1,2,6,16,8
39,0,3,6,14,8
73,1,5,6,16,3
67,0,1,6,16,8
82,0,5,6,11,3
64,0,2,6,14,3
61,0,3,6,14,1
22,1,3,6,6,7
27,0,3,6,14,7
41,1,3,6,14,7
49,0,3,6,6,1
22,1,3,6,11,7
28,0,3,6,11,8
66,0,5,6,14,3
35,0,3,6,13,4
52,1,3,6,12,6
63,1,3,6,14,7
31,1,3,6,13,7
29,0,1,6,17,1
50,1,3,6,17,7
47,1,2,6,12,7
62,1,5,6,13,7
18,0,4,6,13,4
28,0,3,6,16,7
24,1,3,6,16,7
40,1,5,6,16,7
24,0,5,6,15,8
24,1,5,6,16,4
22,1,3,6,11,7
21,1,5,6,15,8
67,1,5,6,16,3
32,0,5,6,19,7
38,1,3,6,9,7
55,0,3,6,12,1
40,1,3,6,14,7
38,1,3,6,11,7
52,1,5,6,13,1
34,0,2,6,16,1
22,0,4,6,16,7
56,1,5,6,17,7
60,0,3,6,12,7
39,1,1,6,16,7
67,1,5,6,12,3
51,1,5,6,12,7
65,1,5,6,12,6
42,0,5,6,16,7
65,0,5,6,12,1
25,0,4,6,13,4
36,0,3,6,12,6
38,0,3,6,14,7
18,1,3,6,12,4
38,1,3,6,9,7
41,0,3,6,9,8
20,1,5,6,14,7
39,1,3,6,16,6
25,0,3,6,17,4
57,1,3,6,14,7
61,0,2,6,13,8
31,1,1,6,16,7
30,1,3,6,12,8
68,0,5,6,14,7
50,1,3,6,16,7
27,1,3,6,12,7
30,1,2,6,16,7
65,0,3,6,14,1
36,1,5,6,19,7
72,1,5,6,12,6
27,0,3,6,12,1
22,1,3,6,12,8
33,0,3,6,9,1
35,1,3,6,6,7
54,0,5,6,11,1
18,1,3,6,11,4
48,1,5,1,12,7
64,1,4,1,19,3
89,0,5,1,19,3
48,0,3,1,12,7
44,0,3,1,6,1
42,1,5,1,15,7
26,0,4,1,16,1
61,0,2,1,14,8
34,1,2,1,13,7
53,1,2,1,17,7
32,1,3,1,12,7
61,1,3,1,14,3
28,1,3,1,10,6
39,1,5,1,12,7
61,1,5,1,16,7
65,1,5,1,18,7
34,1,5,1,18,7
87,1,5,1,12,3
24,1,5,1,16,4
39,0,3,1,12,8
76,0,3,1,0,3
32,1,3,1,14,7
55,0,5,1,14,8
62,1,2,1,14,7
39,1,3,1,6,8
30,0,3,1,12,7
89,0,2,1,8,3
30,1,2,1,10,7
35,0,3,1,12,7
69,0,5,1,16,3
89,0,5,1,12,3
55,1,5,1,16,7
78,0,5,1,12,3
43,1,5,1,17,7
68,0,5,1,16,3
71,1,5,1,16,7
47,0,5,1,16,1
76,0,5,1,12,3
55,1,5,1,16,7
49,0,5,1,12,7
47,1,5,1,11,7
59,1,5,1,14,2
71,1,5,1,14,6
32,0,4,7,12,6
30,1,5,7,16,7
38,0,5,7,16,7
62,0,5,7,20,5
49,1,5,7,20,7
52,0,5,7,16,7
52,1,5,7,16,7
33,1,5,7,14,7
65,0,5,7,16,8
55,1,2,7,12,6
45,0,2,7,14,7
35,1,3,7,9,8
36,0,2,7,14,7
43,0,2,7,16,1
83,1,5,7,13,3
64,1,2,7,14,3
38,1,5,7,18,7
25,1,2,7,14,7
81,1,5,7,18,3
23,0,5,7,12,8
21,0,5,7,12,7
30,0,5,7,11,7
69,1,5,7,12,3
62,0,5,7,12,1
39,1,5,7,16,7
25,1,5,7,18,7
75,1,2,7,20,3
46,1,5,7,18,7
57,1,2,7,6,2
20,1,4,7,13,4
53,0,4,7,16,7
53,1,5,7,16,7
42,0,2,7,8,1
63,1,5,7,18,7
55,1,5,7,20,7
54,1,5,7,17,7
77,1,5,7,20,8
48,0,2,7,16,5
52,0,3,7,4,7
31,1,2,7,13,7
21,1,4,7,12,6
50,0,2,7,15,7
38,0,5,7,16,7
33,1,3,7,12,7
26,1,5,7,14,7
33,0,4,5,14,1
44,0,2,5,17,7
25,1,5,5,16,7
27,1,5,5,16,8
28,0,5,5,16,7
22,1,5,5,16,7
48,0,5,5,17,1
89,1,5,5,8,3
49,0,5,5,17,7
64,1,4,5,17,3
41,1,5,5,15,7
57,1,5,5,9,2
46,0,5,5,16,8
58,0,5,5,16,8
78,0,5,5,16,3
45,0,5,5,19,1
38,0,5,5,14,7
69,0,5,5,20,3
61,1,5,5,16,8
37,1,5,5,16,5
47,1,5,5,12,7
26,1,1,5,18,7
41,0,5,5,13,7
55,0,5,5,18,6
81,0,5,5,10,3
32,1,5,5,17,7
27,1,5,5,14,7
32,0,5,5,13,1
39,0,5,5,18,8
35,1,5,5,16,7
64,1,5,5,17,6
85,0,5,5,15,1
52,1,5,5,12,6
46,0,4,5,12,2
34,0,3,5,5,7
55,0,5,5,10,2
72,1,5,5,12,3
34,0,5,5,16,1
35,1,5,5,10,7
61,0,5,5,12,7
56,1,5,5,12,2
60,0,5,5,15,2
65,0,5,5,16,3
85,1,5,5,9,3
42,1,5,5,12,7
27,0,5,5,14,7
85,0,5,5,12,3
63,0,5,6,14,7
61,0,5,6,15,8
27,0,1,6,20,8
48,1,5,6,16,7
25,1,1,6,16,7
34,1,1,6,13,5
37,0,1,6,16,8
64,0,5,6,14,3
82,1,5,6,18,7
43,0,5,6,16,9
54,0,5,6,14,3
25,0,3,6,18,7
78,0,5,6,17,3
19,0,4,6,12,6
64,1,5,6,11,3
23,1,2,6,13,7
31,0,5,6,16,7
41,1,5,6,15,7
29,0,3,6,12,7
51,0,3,6,19,7
55,1,4,6,18,7
36,0,2,6,15,8
87,0,5,6,13,3
28,1,5,6,17,7
35,1,5,6,17,7
37,1,1,6,18,7
84,1,3,6,12,3
21,1,3,6,13,4
49,1,3,6,17,7
42,0,1,6,12,1
32,0,5,6,16,7
69,0,2,6,20,3
20,1,3,6,10,8
51,0,5,6,19,7
60,1,5,6,20,8
59,0,5,6,16,8
89,0,5,6,16,1
62,0,5,6,20,3
54,0,5,6,13,8
19,0,4,9,12,8
38,0,2,9,10,7
31,1,4,9,14,7
51,0,5,9,18,6
23,1,5,9,11,8
48,0,5,9,16,7
45,0,2,9,16,7
20,1,5,9,12,6
70,0,5,9,15,3
58,0,5,9,16,7
63,1,5,9,16,7
44,0,5,9,12,1
87,0,5,9,14,3
50,0,5,9,16,7
32,1,5,9,14,7
43,1,5,9,20,7
51,0,3,9,16,7
58,1,5,9,20,7
75,0,5,9,11,3
71,0,5,9,16,1
72,0,5,9,14,3
34,1,2,9,15,7
71,1,2,9,11,7
41,1,3,9,17,7
34,1,5,9,13,7
50,1,2,9,13,7
23,0,5,9,12,7
53,1,4,9,12,3
64,1,2,9,13,3
41,1,5,7,20,7
46,1,2,7,14,7
54,1,5,7,16,7
67,1,5,7,19,7
53,0,4,7,16,7
59,0,5,7,12,3
51,1,3,7,14,7
39,1,1,3,14,7
30,0,5,3,16,7
36,1,5,3,18,7
38,0,1,3,18,1
46,1,5,3,16,7
41,1,5,3,18,7
29,1,1,3,18,7
58,1,5,3,12,7
48,0,1,3,17,7
31,1,5,3,20,2
54,0,4,3,14,7
37,0,2,3,9,8
58,1,2,3,12,6
44,0,5,3,14,8
27,0,5,3,16,7
19,1,5,3,11,8
55,1,5,3,13,7
52,0,5,3,12,7
63,1,5,3,13,3
39,0,3,3,14,7
68,0,2,3,10,1
82,1,5,3,4,3
59,0,2,9,12,1
64,0,5,9,15,8
47,0,2,9,18,7
45,1,2,9,12,7
37,1,5,9,12,7
20,1,3,9,11,6
31,1,2,9,20,7
22,0,5,9,13,1
61,0,5,9,16,3
56,0,5,9,15,7
34,1,5,9,8,7
53,1,3,9,12,7
22,1,3,9,12,7
39,0,3,9,12,7
25,1,3,9,6,7
75,1,5,9,17,3
44,1,5,9,18,7
26,1,5,9,14,7
40,0,3,9,13,7
33,0,3,9,10,7
49,1,3,9,12,5
49,0,3,9,12,6
48,1,5,9,20,7
40,1,5,9,17,7
80,1,2,7,14,3
38,1,2,7,0,7
74,1,5,7,12,3
75,1,5,7,16,3
40,0,5,7,14,7
50,0,5,7,16,1
48,0,5,7,8,7
32,1,3,7,9,8
41,1,3,7,8,8
26,0,3,7,9,1
57,0,2,7,12,7
30,0,2,7,12,4
41,0,2,7,12,1
50,1,2,7,9,8
30,1,3,7,15,8
47,0,2,7,12,7
65,0,2,7,7,1
43,1,3,7,5,8
20,1,4,7,14,4
47,0,2,7,18,7
31,1,1,7,16,7
35,1,2,7,12,7
58,1,5,7,12,7
66,0,5,7,14,3
37,0,5,7,12,1
40,0,5,7,15,7
56,1,5,7,13,7
49,0,5,7,12,8
30,0,5,7,14,8
45,0,5,7,18,6
77,1,4,7,13,3
30,0,2,7,11,1
43,1,3,7,10,7
31,0,2,7,13,7
58,0,4,7,16,7
62,1,2,7,12,8
73,1,4,7,10,3
60,0,2,7,12,7
32,1,3,7,11,7
24,0,5,7,10,7
71,1,5,7,14,3
31,1,2,7,15,7
42,0,5,7,14,7
80,0,2,7,10,1
76,0,2,7,12,3
40,0,2,7,11,1
29,1,4,7,10,8
53,1,5,7,12,7
48,0,3,7,12,8
86,0,3,7,6,3
50,0,3,7,6,8
40,1,2,7,14,7
30,1,3,7,12,7
68,1,4,7,6,7
37,0,2,7,17,7
41,0,3,7,11,6
64,0,3,7,15,7
72,1,3,7,13,3
43,0,3,7,16,5
84,1,5,7,17,3
34,1,5,7,16,7
60,1,2,7,10,3
59,1,5,7,12,6
59,1,4,7,12,1
63,0,5,7,13,3
66,0,5,7,7,3
49,1,4,7,12,7
66,1,5,1,17,3
42,1,1,1,19,7
52,1,5,1,20,7
42,1,1,1,20,7
45,1,2,1,17,7
37,0,5,1,18,7
49,1,2,1,12,7
31,1,2,1,11,2
81,1,2,1,13,3
30,1,2,1,20,7
29,1,2,1,13,7
58,1,5,1,14,7
49,1,5,1,16,7
42,0,2,1,14,1
56,1,3,1,16,7
40,0,5,1,18,7
35,0,5,1,18,7
36,0,3,1,18,5
56,0,5,1,16,7
37,1,5,1,20,7
35,0,5,1,13,1
24,1,1,1,15,8
70,1,5,1,12,7
28,1,5,1,11,7
51,0,5,1,12,7
30,0,5,1,14,7
80,0,5,1,12,3
46,0,5,1,16,8
78,0,5,1,18,3
50,0,5,1,20,7
63,1,3,1,14,3
66,1,1,6,14,7
35,0,5,6,16,7
72,1,3,6,12,3
88,1,4,6,14,3
47,0,5,6,12,8
19,1,4,6,9,1
32,0,4,6,14,8
33,0,5,6,12,8
48,0,5,6,14,7
67,0,5,6,14,3
46,1,2,6,12,6
50,1,5,6,18,6
28,1,5,6,16,8
49,1,5,6,15,7
20,0,5,6,12,8
51,1,5,6,14,7
75,0,5,6,10,3
65,0,5,6,13,3
58,0,5,6,12,1
32,0,5,6,14,7
53,0,5,6,14,6
51,1,5,6,13,7
48,0,5,6,12,7
42,1,3,4,12,7
39,0,5,4,15,6
27,0,5,4,11,1
42,1,5,4,15,7
48,1,5,4,12,7
69,0,5,4,15,3
18,1,3,4,12,7
37,1,5,4,12,5
33,0,3,4,16,1
39,0,4,4,16,7
44,0,3,4,8,7
53,1,3,4,6,8
25,1,4,4,12,6
24,1,3,4,12,7
59,0,2,4,13,4
54,1,5,4,20,7
26,0,5,4,12,8
86,0,5,4,12,2
63,0,5,4,12,7
27,0,2,8,13,8
52,1,2,8,13,7
50,0,2,8,12,8
36,0,2,8,12,6
38,1,6,8,12,6
51,1,5,8,17,7
41,0,5,8,14,5
36,1,2,8,16,4
54,0,5,8,16,7
61,0,5,8,14,7
21,1,5,1,12,7
76,1,5,1,9,3
23,0,5,1,16,4
63,0,5,1,12,3
45,0,5,6,18,7
26,0,3,6,9,8
36,1,3,6,9,7
64,1,2,6,14,7
46,1,3,6,6,7
